"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Altersgruppen","bis 17 Jahre",2022,"07 Sendling - Westpark",15.1,9339,61702,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"08 Schwanthalerhöhe",13.8,4007,28986,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"09 Neuhausen - Nymphenburg",14.8,14904,100495,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"10 Moosach",15.7,8747,55761,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"11 Milbertshofen - Am Hart",15.2,11696,77002,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"12 Schwabing - Freimann",15,11832,79092,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"13 Bogenhausen",16.9,15916,94317,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"14 Berg am Laim",16.3,7675,47148,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"15 Trudering - Riem",19.9,15096,75998,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"16 Ramersdorf - Perlach",17.4,20755,119572,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"17 Obergiesing - Fasangarten",13.9,7486,53964,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"18 Untergiesing - Harlaching",14.1,7599,54068,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",15.9,16063,101087,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"20 Hadern",15.5,7930,51239,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"21 Pasing - Obermenzing",17.5,14062,80309,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"22 Aubing - Lochhausen - Langwied",19.6,10730,54619,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"23 Allach - Untermenzing",19.4,7005,36017,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"24 Feldmoching - Hasenbergl",18.2,11457,63110,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"25 Laim",13.3,7539,56855,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"Stadt München",15.4,241232,1562128,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"01 Altstadt - Lehel",12,2476,20626,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"02 Ludwigsvorstadt - Isarvorstadt",11.8,6023,50943,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"03 Maxvorstadt",10,5104,51228,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"04 Schwabing - West",12.8,8730,68255,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"05 Au - Haidhausen",14.2,8873,62315,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"06 Sendling",13.2,5355,40704,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
